Class	FDP	FAO	QD	FSAF	FSAR	FXX	LEN	HRUN	RBI	VARB	STB	STBP	MLLD	SSEN	SSEP	SSSB	QUAL	GQ
F	23	16	6.40321	12	4	0	1	6	0.229048	0.0250282	0.61523	0.138	11.3894	0	0	0.351849	36.8185	5
F	108	108	13.1074	77	31	0	1	6	0.19676	0.0123782	0.5	1	9.50196	0	0.506173	0.0117808	353.9	64
F	47	38	11.6313	22	16	0.020829	1	8	0.246517	0.0711321	0.517312	0.634	8.6391	0	0	-0.103053	136.667	9
F	34	34	34.029	23	11	0	1	1	0.0314109	0.00690623	0.5	1	24.3652	0	0	0	289.247	14
F	219	219	22.8249	90	129	0.0179364	1	0	0.0906289	0.000425081	0.5	1	62.328	0	0	-0.509967	1249.66	99
F	179	60	19.9128	2	58	0.0271724	1	4	0.200593	0.174055	0.900698	0	14.1313	0	0.393617	-0.711564	891.096	99
F	260	157	4.72428	90	67	0.0225555	1	0	0.0168415	0.0054368	0.54286	0.087	24.1719	0	0	-0.150178	307.079	60
F	11	7	7.90406	3	4	0	1	1	0.234523	0.117557	0.52624	0.932	15.2571	0	0	-0.0892949	21.7362	6
F	11	3	28.4588	0	3	0	1	1	0.0460095	-0.0397454	0.994936	0.121	14.6667	0	0	-0.639851	78.2618	13
F	87	28	8.00258	16	12	0.0333296	1	1	0.164604	0.0370324	0.508191	0.906	86.183	0	0	0.0426365	174.056	64
F	134	35	7.37645	18	17	0.0289834	1	3	0.152307	0.0464694	0.646983	0.053	21.3963	0	0	-0.217353	247.111	62
F	84	68	17.9896	6	62	0.0869471	1	5	0.514733	0.0543802	0.5	1	7.91895	0.367647	0.352941	-0.246001	377.781	19
F	110	88	29.0855	0	88	0.0090082	1	4	0.0999276	0.00970413	0.5	1	14.3207	0	0	0	799.851	27
F	30	13	30.7319	6	7	0	1	1	0.196801	0.0179755	0.5	1	30.9271	0	0	-0.601011	230.489	53
F	220	57	19.1349	0	57	0	1	1	0.133726	0.259426	0.999772	0	22.58	0	0	-0.83372	1052.42	99
F	17	5	15.1944	0	5	0.149925	2	13	0.109273	0.112609	0.5	1	6.01803	0	0	0	64.576	22
F	51	0	20.1988	0	0	0.0192271	2	5	0.829268	-0.0790531	0.5	1	8.41184	0.398148	0.375	0.266181	257.535	7
F	181	181	18.0834	75	106	0.0163035	2	6	0.199957	0.00197209	0.5	1	18.2171	0.4	0	0.157013	818.274	99
F	19	6	16.5592	0	6	0	1	2	0.0619815	0.115074	0.996948	0.189	12.8011	0	0	-0.760919	78.6561	20
F	139	139	33.151	32	107	0.0479419	2	5	0.145225	0.00228054	0.5	1	29.3767	0.4	0	-0.029854	1152	52
F	282	252	10.1867	195	57	0.017421	1	0	0.246951	0.0582233	0.548957	0	18.5283	0	0	-0.0079387	718.164	47
F	32	26	14.7852	0	26	0.0302939	1	8	0.236527	0.0262598	0.5	1	5.87933	0	0	0	118.282	10
F	182	182	18.5406	90	92	0.0162153	1	0	0.126507	0.00300615	0.5	1	43.7698	0	0	0.78961	843.597	99
F	280	280	30.1898	137	143	0.0106003	1	4	0.196139	0.00104711	0.5	1	13.9378	0	0.294118	-0.0804796	2113.29	99
F	52	30	4.91506	2	28	0	1	2	0.222541	0.102942	0.768991	0.005	17.9759	0	0	-0.832047	63.8958	16
F	167	86	6.22816	14	72	0.00595203	1	0	0.151512	-0.0101595	0.79219	0	18.6147	0	0	-0.706309	260.025	99
F	17	1	22.4736	1	0	0	2	5	0.209	-0.00120502	0.990053	0.474	11.0801	0.409639	0.445946	0.791268	95.5126	17
F	161	61	0.556961	55	6	0.0182916	1	0	0.125771	0.133525	0.826148	0	15.4236	0	0	0.513064	22.4177	22
F	58	0	4.11208	0	0	0.0491723	2	1	0.0278542	0.064432	0.5	1	207.979	0	0	0.0656237	59.6252	33
F	114	77	8.07855	31	46	0.0420133	1	7	0.0992661	0.071538	0.511319	0.671	5.8927	0	0	-0.291148	230.239	21
F	123	13	37.7866	9	4	0.00806387	1	1	0.108589	-0.0023502	0.5	1	153.451	0	0	0	1161.94	6
F	25	10	11.5519	9	1	0	39	1	0.12667	0.0115174	0.870147	0.002	94.523	0	0	0.583505	50	99
F	12	8	9.13308	2	6	0.076864	49	5	0.0903895	0.0317554	0.749373	0.04	21.5543	0	0	-0.429216	50	99
F	48	37	16.2446	34	3	0.142832	1	6	0.63113	0.0269151	0.5	1	7.73283	0	0	0.822893	194.935	20
F	60	0	5.8076	0	0	0.0476115	5	3	0.0217829	0	0.5	1	183.407	0	0	-0.858814	87.114	19
F	47	23	5.45469	9	14	0	1	8	0.156922	0.105114	0.587709	0.254	9.49308	0	0	-0.345864	64.0926	55
F	125	106	13.2451	27	79	0.045798	1	11	0.112904	0.0634928	0.5	1	4.43143	0	0	-0.0138414	413.911	21
F	19	10	25.7081	0	10	0.136302	1	2	0.0953638	0.144096	0.5	1	15.9505	0	0	0	122.113	31
F	48	47	19.8132	19	28	0.020404	1	5	0.173057	-0.00806248	0.508768	0.524	17.2121	0.372549	0	-0.039395	237.759	45
F	181	181	18.0834	75	106	0.0163035	2	6	0.199957	0.00197209	0.5	1	18.2171	0.4	0	0.157013	818.274	99
F	15	13	31.8643	6	7	0.117578	2	6	0.138183	0.0173148	0.5	1	21.5803	0	0.410256	0	119.491	4
F	97	96	11.5459	70	26	0.0202	1	6	0.207395	0.0224813	0.509432	0.166	8.58674	0	0.40678	-0.103088	279.989	48
F	131	105	14.2253	53	52	0.0575498	1	8	0.27793	0.0533676	0.504329	0.768	8.12658	0	0	-0.138236	465.88	13
F	39	31	26.9655	0	31	0	1	1	0.274662	0.0744366	0.999361	0.013	14.1097	0	0	-0.841436	262.914	10
F	120	118	8.49016	98	20	0.069762	1	8	0.235387	-0.0132017	0.5	1	6.10228	0	0	0.535948	254.705	18
F	228	228	15.0977	127	101	0.00436662	1	2	0.186113	-0.000569633	0.5	1	7.15709	0	0	0.660407	860.57	99
F	61	61	18.9934	24	37	0	1	5	0.240113	0.0043367	0.5	1	13.0638	0.372549	0	-0.120044	289.649	63
F	216	102	1.69286	4	98	0	1	4	0.221995	0.0137237	0.888364	0	14.5708	0	0	-0.551666	91.4146	91
F	24	11	22.0384	3	8	0	1	6	0.214083	-0.0297782	0.52936	0.664	9.90309	0.48	0	0.11124	132.23	28
F	82	48	2.10599	1	47	0.0238067	1	2	0.130883	0.103723	0.86692	0	8.70468	0	0	-0.55732	43.1729	26
F	399	399	38.7576	174	225	0.00249994	1	1	0.0742747	0.00780461	0.5	1	44.2485	0	0	0	3866.07	99
F	353	353	38.5347	141	212	0	1	1	0.0597618	0.0027695	0.5	1	145.856	0	0	0	3400.68	99
F	300	269	37.2301	138	131	0.00332215	1	2	0.0698072	-0.00182071	0.5	1	27.1073	0	0	0	2792.26	4
F	170	134	31.2002	105	29	0.00584761	1	1	0.792485	0.0424596	0.5	1	17.061	0	0	0.658217	1326.01	31
F	63	63	18.9952	20	43	0.0156226	1	0	0.0865311	0.000289981	0.5	1	232.908	0	0	0.804086	299.175	68
F	10	5	20.121	0	5	0	1	1	0.341216	0.0937894	0.997126	0.02	17.5633	0	0	-0.666583	50.3026	16
F	203	203	32.5096	29	174	0.0424508	2	5	0.178478	0.00317209	0.5	1	27.9988	0.4	0	-0.0111052	1649.86	62
F	36	7	16.9047	7	0	0.320694	1	0	0.0949479	0.121572	0.997566	0.067	56.1193	0	0	0.65814	152.143	18
F	44	11	5.24146	6	5	0	1	6	0.0904054	0.0668959	0.559478	0.666	10.2036	0.5	0	0.172769	57.6561	27
F	128	75	3.08455	24	51	0.051848	96	5	0.0525048	0.14106	0.536468	0.372	16.2844	0	0	0.138318	12	99
F	185	84	15.5855	53	31	0.0211629	1	7	0.615312	0.0779064	0.5	1	8.7301	0	0	-0.528175	720.827	82
F	48	47	16.2945	29	18	0	1	5	0.220509	0.147128	0.513508	0.289	9.60381	0	0	0.346987	195.534	4
F	144	101	27.0379	73	28	0.0769181	1	5	0.161697	0.0021621	0.5	1	13.6134	0.333333	0.410256	-0.0135191	973.363	90
F	56	0	5.58003	0	0	0.0666556	2	2	0.0328531	0	0.5	1	141.537	0	0	0.322201	78.1204	19
F	95	33	2.77737	9	24	0.0306091	1	0	0.044176	0.0808473	0.659692	0.034	77.9578	0	0	-0.352853	65.9624	62
F	363	363	37.9662	181	182	0.0054793	1	1	0.107388	0.00236022	0.5	1	27.4185	0	0	0	3445.43	99
F	199	199	17.8304	97	102	0.00499975	1	4	0.23053	-0.00424702	0.5	1	13.8276	0	0.380952	0.0646877	887.062	99
F	181	181	18.0834	75	106	0.0163035	84	6	0.199957	0.00197209	0.5	1	18.2171	0.4	0	0.157013	50	99
F	82	0	23.071	0	0	0.196059	5	1	0.0620231	0.018181	0.5	1	164.01	0	0	-0.822782	472.955	99
F	30	30	23.393	10	20	0.0624805	1	1	0.150208	0.00246663	0.5	1	27.366	0	0	-0.619168	175.447	37
F	192	192	19.8265	116	76	0.00518108	1	3	0.177591	-0.00126344	0.5	1	17.0367	0	0	-0.813088	951.673	99
F	26	0	6.48083	0	0	0	2	2	0.176707	0	0.5	1	11.1608	0	0	0.694591	42.1254	6
F	37	19	2.61571	17	2	0	1	5	0.0371816	0.0485772	0.664595	0.105	11.6515	0	0.404255	0.350825	24.1953	20
F	51	44	23.0694	19	25	0.0892698	1	5	0.230243	0.0403153	0.519222	0.262	13.0167	0.435897	0	-0.0954711	294.135	3
F	10	3	24.9584	0	3	0	1	2	0.03258	0.299447	0.5	1	24.3597	0	0	0	62.3961	8
F	27	11	20.6995	1	10	0	2	15	0.287611	0.0294855	0.5	1	5.93771	0	0	0	139.721	33
F	28	7	37.441	0	7	0	1	1	0.0388131	-0.00347511	0.5	1	254.125	0	0	0	262.087	9
F	15	1	35.7796	0	1	0	1	1	0.0565138	0.0380513	0.5	1	312.639	0	0	0	134.173	3
F	260	260	14.7777	133	127	0.0188672	1	2	0.150793	0.000383684	0.5	1	6.96679	0	0	0.635218	960.55	99
F	151	151	38.2779	26	125	0	1	1	0.168992	0.00109157	0.5	1	69.707	0	0	0	1444.99	68
F	65	27	1.69427	15	12	0.0579626	39	1	0.126058	0.0719255	0.680942	0.023	16.4613	0	0	0.819012	50	99
F	119	103	17.7272	44	59	0.0165276	1	0	0.156113	0.127522	0.552116	0.006	15.6337	0	0	-0.578052	527.383	8
F	215	215	34.4352	23	192	0.057015	2	5	0.247392	-0.000261056	0.5	1	29.7008	0.4	0	-0.0216425	1850.89	85
F	16	14	10.6621	6	8	0	1	8	0.218847	0.022624	0.509078	0.885	6.24477	0	0	0.080744	42.6483	6
F	307	0	29.9138	0	0	0.0345901	2	4	0.417844	0	0.5	1	6.61561	0	0.294118	-0.0930432	2295.88	99
F	136	95	37.4864	35	60	0.0215812	1	1	0.0371497	-0.00911409	0.5	1	195.407	0	0	-5.6764e-08	1274.54	33
F	142	75	28.7742	0	75	0.0138879	1	6	0.612654	0.00820185	0.5	1	7.84745	0	0	0	1021.49	99
F	164	80	2.35383	17	63	0.00606024	1	1	0.029473	0.00484362	0.703364	0	242.046	0	0	-0.441961	96.5069	96
F	97	80	31.377	8	72	0.029997	1	1	0.592387	0.0587865	0.5	1	18.7583	0	0	-0.75889	760.893	15
F	324	324	13.8203	186	138	0.0357132	1	5	0.235409	-0.00835519	0.5	1	11.288	0	0.404255	0.313693	1119.44	99
F	41	40	17.3371	19	21	0	1	0	0.0765902	0.00271632	0.512814	0.313	237.06	0	0	0.809402	177.705	34
F	176	109	35.7485	65	44	0	1	3	0.860358	0.00432652	0.5	1	21.1467	0	0	-0.851439	1572.93	99
F	70	70	14.0799	37	33	0.0140825	1	7	0.0764395	0.00024497	0.5	1	6.57592	0	0	0.0684638	246.399	9
F	134	0	21.3179	0	0	0.0147048	2	3	0.303899	0	0.5	1	32.0476	0	0	-0.868968	714.148	99
F	226	226	37.7673	129	97	0.00877155	1	1	0.0411926	0.000774194	0.5	1	36.3054	0	0	0	2133.85	99
F	50	26	2.8007	8	18	0.0740604	1	0	0.151244	0.12506	0.699888	0.052	14.9237	0	0	0.389151	35.0087	23
F	312	228	33.8577	173	55	0.00319479	39	4	1.01569	0.0163986	0.5	1	18.5248	0.342105	0	-0.844023	50	99
F	23	23	13.4507	12	11	0	1	6	0.141233	-0.00166725	0.5	1	9.13983	0	0.428571	0.211852	77.3413	16
F	305	287	37.4039	160	127	0.00651445	1	2	0.0457082	0.00100061	0.5	1	25.7363	0	0	4.3645e-08	2852.05	28
F	79	19	17.6226	19	0	0	1	3	0.123281	0.0584996	0.999444	0	20.1887	0	0.335562	0.878438	348.046	38
F	25	15	7.86532	11	4	0.166611	1	1	0.178618	0.111484	0.60721	0.225	13.8263	0	0	-0.0973785	49.1583	38
F	399	0	15.8823	0	0	0.00249994	2	6	0.521359	0	0.5	1	7.76258	0.402985	0	-0.260345	1584.26	99
F	67	39	7.38672	34	5	0.0147037	1	2	0.0928744	0.122162	0.756199	0.001	11.2362	0	0	0.729265	123.728	57
F	130	27	18.1804	27	0	0.0225547	1	5	0.215973	-0.177306	0.999592	0	13.6096	0.409836	0.434211	0.723309	590.864	50
F	168	105	4.17751	62	43	0	1	5	0.0375841	0.0329856	0.690209	0	12.6854	0	0.452381	0.422365	175.456	24
F	141	111	28.086	73	38	0.0723637	1	5	0.283327	0.000759309	0.509419	0.294	15.3339	0.333333	0.410256	0.00488651	990.031	26
F	16	9	21.3643	1	8	0	1	1	0.164905	0.126098	0.63963	0.22	18.3438	0	0	0	85.4571	25
F	398	398	14.774	162	236	0.00499988	1	6	0.238257	0.0065171	0.5	1	10.6651	0	0	-0.0824383	1470.01	99
F	96	2	37.5309	0	2	0.0679546	1	1	0.0621315	-0.0199445	0.5	1	186.767	0	0	0	900.742	3
F	231	231	16.758	137	94	0.0869531	1	6	0.15467	0.0865332	0.5	1	7.95125	0	0	-0.23225	967.774	32
F	43	38	29.7528	15	23	0	1	0	0.790047	0.0697141	0.5	1	17.4193	0	0	-0.662681	319.843	4
F	42	32	26.1582	32	0	0	23	1	0.515779	0.0372023	0.999422	0	46.4516	0	0	0.729812	50	99
F	230	24	2.64921	8	16	0.0725777	18	1	0.0192881	-0.0095824	0.53473	0.732	174.594	0	0	-0.120511	152.33	93
F	52	34	2.59489	15	19	0.0370302	135	8	0.178016	0.133298	0.518422	0.744	5.85209	0	0	-0.0986588	50	99
F	77	14	33.8933	1	13	0	1	1	0.0104482	0.0708892	0.666367	0.051	90.2407	0	0	-0.831585	652.446	15
F	341	90	7.36532	84	6	0.0144504	1	1	0.0252043	0.0251282	0.888197	0	277.307	0	0	0.72028	627.894	99
F	104	0	5.44522	0	0	0.147529	2	2	0.1941	0	0.5	1	14.2986	0	0	-0.265762	141.576	3
