Class	FDP	FAO	QD	FSAF	FSAR	FXX	LEN	HRUN	RBI	VARB	STB	STBP	MLLD	SSEN	SSEP	SSSB	QUAL	GQ
F	74	55	36.146	50	5	0.0864091	3	2	0.323547	0.0327223	0.5	1	163.047	0	0	0	668.7	39
F	70	0	14.0799	0	0	0.0140825	2	7	0.0399466	-0.119032	0.5	1	8.48624	0	0	-0.782861	246.399	9
F	57	25	1.52321	21	4	0	1	7	0.157743	0.13129	0.630782	0.151	11.0179	0	0	0.0325653	21.7058	21
F	262	0	30.7391	0	0	0.0223872	2	4	0.392354	0	0.5	1	7.03704	0	0.294118	-0.102781	2013.41	92
F	189	28	1.8317	14	14	0.0257719	2	7	0.00360996	0.00157595	0.580097	0.336	248.875	0	0	-0.0451508	86.5477	20
F	58	0	15.5253	0	0	0.0169463	1	6	0.318292	0.0760225	0.5	1	9.35216	0	0	-0.79802	225.118	34
F	105	105	21.7171	42	63	0.00943307	1	2	0.155656	0.00512025	0.5	1	24.4477	0	0	-0.745496	570.074	99
F	51	42	27.1113	31	11	0	1	0	0.741835	0.0655187	0.5	1	12.9435	0	0	-0.110519	345.67	9
F	143	108	37.233	74	34	0.0337815	1	0	0.116526	0.0399394	0.5	1	45.0168	0	0	0	1331.08	45
F	31	23	32.224	23	0	0	1	0	0.144583	-0.00342868	0.999148	0.017	30.7588	0	0	0.865825	249.736	17
F	15	0	36.3069	0	0	0.062461	1	1	0.0612791	0	0.5	1	133.956	0	0	0	136.151	5
F	61	52	33.083	0	52	0	1	4	0.349697	0.0369514	0.5	1	18.0482	0.378378	0	0	504.516	9
F	89	89	20.879	21	68	0.299189	3	7	0.207005	-0.0116745	0.5	1	23.2193	0	0	-0.124737	464.557	93
F	214	68	37.6218	28	40	0.02283	120	1	0.0624065	-0.00824127	0.5	1	198.477	0	0	-3.51495e-08	50	99
F	86	76	9.31207	10	66	0	1	0	0.0633274	0.0722534	0.540291	0.143	17.8294	0	0	-0.391229	200.21	14
F	106	1	20.9671	1	0	0.116657	2	7	0.44889	0.0286591	0.5	1	18.3127	0	0	-0.251032	555.629	33
F	258	70	37.5425	25	45	0.0190107	120	1	0.0675203	-0.00913838	0.5	1	194.077	0	0	-0.0141746	50	99
F	37	32	14.6199	14	18	0.0512689	2	4	0.144158	0.0350876	0.521263	0.519	21.5284	0.384615	0	0.112222	135.234	15
F	197	197	22.9412	77	120	0.00505025	1	0	0.110586	0.000226453	0.5	1	41.2754	0	0	-0.321706	1129.85	99
F	23	23	19.2684	7	16	0	1	2	0.232335	0.0296633	0.5	1	16.3894	0	0	-0.0363634	110.794	23
F	281	277	36.0569	156	121	0.0209052	1	1	0.15534	0.000829598	0.5	1	156.654	0	0	0	2533	71
F	109	0	30.4278	0	0	0.00909008	2	5	0.236283	0	0.5	1	7.87767	0.425	0	0.26951	829.158	3
F	10	2	38.5948	0	2	0	1	0	0.0762097	0.00570475	0.5	1	114.074	0	0	0	96.4871	9
F	18	7	22.9973	0	7	0	1	0	0.142994	0.248003	0.5	1	17.6101	0	0	0	103.488	28
F	60	60	21.1841	27	33	0.0322529	1	0	0.0330622	3.35708e-05	0.5	1	235.689	0	0	0.798001	317.761	70
F	53	47	35.3994	47	0	0	1	2	0.572757	0.0407892	0.5	1	20.8646	0	0	0	469.043	4
F	89	89	17.8536	41	48	0.160362	1	0	0.104244	0.000143361	0.5	1	155.89	0	0	0.748189	397.242	94
F	54	46	35.1957	24	22	0	1	2	0.968645	0.0693053	0.5	1	20.0044	0	0	0.785072	475.142	8
F	116	99	7.37524	75	24	0.00854628	1	0	0.210564	0.171519	0.543469	0.06	11.8855	0	0	0.114994	213.882	10
F	78	52	29.9002	17	35	0.0126566	1	2	0.929944	0.0288481	0.5	1	14.9036	0	0	0.888512	583.054	58
F	86	84	19.7407	17	67	0.0114929	2	4	0.220473	0.00352341	0.510582	0.371	26.8344	0.358824	0	-0.449961	424.426	71
