Class	BaseQRankSum	ReadPosRankSum	DP	FS	MQ	MQRankSum	QD	SOR	QUAL	GQ
F	-1.452	-1.285	71	0	60	0	35.63	0.844	3284.73	99
F	-2.062	1.007	56	6.99	59.4	-0.728	5.3	3.383	100.73	99
F	-1.739	-1.561	45	2.674	59.78	0.694	2.27	1.524	65.73	99
F	2.014	-3.015	29	0	60	0	3.37	1.112	97.73	99
F	-2.323	1.134	32	0	59.48	0	2.42	0.784	38.73	76
F	0.9	-4.973	529	2.233	59.97	-2.558	1.73	0.491	610.73	99
F	-2.192	-1.398	53	0	60	0	0.4	0.76	17.8	55
F	0.927	-1.461	81	7.313	59.82	0	0.85	0.09	47.73	85
F	-1.411	-0.086	22	4.027	60	0	1.55	0.072	21.76	59
F	-0.075	0.553	51	0	60	0	1.02	0.725	47.73	85
F	-0.06	-0.245	165	2.381	59.89	0	3.19	0.375	360.73	99
F	0.365	0.879	165	3.032	60	0	1.2	0.385	184.73	99
F	-0.301	0.674	131	0	59.96	0	2.69	0.263	198.73	99
F	0.538	-0.197	56	12.063	59.7	0	1.94	3.611	73.73	99
F	-0.558	-0.986	115	2.05	60	0	0.38	0.223	34.73	72
F	1.911	-1.523	71	1.768	60	0	0.2	0.34	10.17	47
F	1.01	-0.446	40	0	60	0	32.59	1.292	1852.73	99
F	-0.614	-3.084	90	0	60	0	1.81	0.412	117.73	99
F	-0.52	-1.862	39	0	60	0	1.21	0.641	32.73	70
F	0.13	-0.884	60	1.77	60	0	2.6	1.09	145.73	99
F	-0.712	0.566	7	0	60	0	2.4	0.148	16.82	54
F	1.728	0.883	216	1.111	60	0	13.14	0.598	2838.73	99
F	0.637	-0.952	46	0	59.64	0	3.13	1.27	87.73	99
F	-0.431	-0.431	12	3.01	60	0	2.86	1.911	25.74	63
F	0.026	-0.171	64	0	59.9	0	9.89	0.312	474.73	99
F	-0.999	0.718	102	3.387	59.84	0	0.94	0.23	78.73	99
F	0.666	-2.881	102	1.418	60	0	2.66	0.405	188.73	99
F	0.552	-0.08	26	0	60	0	2.84	0.425	39.73	77
F	-0.979	-2.241	85	5.208	60	0	0.44	0.215	31.73	69
